Org_Name,OK,Location,How_many_employed,Workforce_changes,KS_funding_alternative,Recruitment_changes_past_6_months,Trade_Unions
Satsuma Consultancy Ltd.,OK,"Atcost road, Barking","Director on PAYE and 4 contractors.

X
1 (myself), I have an accountant and an immigration lawyer I am consulting to as needed.
I also have a someone who is helping me out with design and website, another person with sales support. They are currently working as interns (unpaid)",We have started the ebay business recently,not possible,have not recruited due to covid restrictions,no
Vintage Entrepreneur Ltd,OK,Uk remote working,"Director, 2 contractors, several professional speakers who deliver talks monthly.


X
I do not have anyone on PAYE. Iam working with 2 other Individuals that help me market the Company one of which is my wife.( unpaid at the moment )  I also have some professional speakers that I work with that present on topical issues in business each month at our live events. See the link  below to the relevant web page that tells you the date and times of the next events and the event speakers.


https://www.vintageentrepreneur.org/join-the-045e-club",There have been no changes in the last 6 months,"Won't be looking to hire for junior roles without Kickstart help, although once hired we will aim to make this sustainable beyond Kickstart.

X I have access to cash flow capital. It is the intention when the company gets more traction to seek external Investor funds.",None,No
SilicoFi Ltd,OK,Remote,"3 employed internally, 1 paid through PAYE.","The founders started building this business in early 2021. 
There has been one senior hire as a contractor in June 2021, not overlapping with Kickstart.",Not possible,Nothing similar.,No
Albatross Healthcare,OK,National,3 (including contractors),"We parted ways with perfromance marketing specialists but this is not affected by Kickstart at all.

X
Yes. We have taken 1 SEO specialist on a contract basis and also 1 social media specialist, which are no longer with us. Both were working on a commission basis only without a set salary.","Through potentially higher sales in the future.

X
Income generated from sales","We were looking for specialist experienced protection specialists but weren't able to find them. Kickstart is not replacing any of our recruitment efforts.

X
Initially wanted to create a self-employed division of experienced protection specialists, however, due to the fact that I was unable to find the required people I&#039;ve stopped this process.",No
S & R SHIPPING SOLUTIONS LTD,OK,"Home Based, weekly meetings in the Birmingham/Sandwell area","Apart from the director there are 3 people employed, 1 on PAYE.",No changes.,"This would have to be organic, so we would reinvest the money made from the business. Currently this is not quite feasible without Kickstart. We would not have access to external funding.",No recruitment has taken place.,N/A
robinson ralph,OK,Leeds,We have two employees and there are two Directors.,"We have had a Legal Executive leave (salary £32,500) due to a change in career and have recruited a trainee solicitor who has now qualified (salary £34,000).",We would not currently be able to fund this position without the Kickstart Scheme.,Recruited a trainee solicitor. Not at all similar as it was a fee earning role.,N/A
Zipistream Technology,OK,Work from home - remote,3 employees,none,Potentially revenue from sales,"We have only recruited role in the development team, We have hired 4 developers between November 2020 and June 2021 i.e. not related to Kickstart",none yet
Avenue Communications,OK,"First Floor, 47 Berwick Street, London, W1F 8SQ","Apart from directors there are 2 senior employees.
X
I employ 2 people, both are freelance, but their contracts are about to become PAYE","Yes, my last employee who was PAYE, came back from Furlough then left as she got another job.",It would only be possible by increased revenue or investment into the business by a third party,I am recruiting for a permanent account manager to start asap. Position not overlapping with Kickstart PR role.,No
IBAA LTD,OK,"125 City Road, Cardiff, Wales, CF24 3BP",2 PAYE + several contractors,No,It would be not possible because my business was very affected by COVID ,No,No
Patchwork Ltd,OK,Work remotely - from home.,"2 full time PAYE, 2 part time contracted.",No changes.,Not aware of any other funding source available.,N/a,N/a
